model_id,conflict_type_idx,bootstrap_idx,space,overlap_with_reference
Qwen/Qwen3.5-4B,9,16,raw,0.7714395810970567
Qwen/Qwen3.5-4B,9,16,label_residualized,0.725441734818298
Qwen/Qwen3.5-4B,9,17,raw,0.5610473810710248
Qwen/Qwen3.5-4B,9,17,label_residualized,0.41051242046118736
Qwen/Qwen3.5-4B,9,18,raw,0.807826442648856
Qwen/Qwen3.5-4B,9,18,label_residualized,0.7599637707072913
Qwen/Qwen3.5-4B,9,19,raw,0.5184834473350833
Qwen/Qwen3.5-4B,9,19,label_residualized,0.4920003928371074
Qwen/Qwen3.5-9B,1,0,raw,0.8941903299990757
Qwen/Qwen3.5-9B,1,0,label_residualized,0.8936807460582286
Qwen/Qwen3.5-9B,1,1,raw,0.49975609392239956
Qwen/Qwen3.5-9B,1,1,label_residualized,0.5000883035848824
Qwen/Qwen3.5-9B,1,2,raw,0.4984275078691397
Qwen/Qwen3.5-9B,1,2,label_residualized,0.5021378070663455
Qwen/Qwen3.5-9B,1,3,raw,0.2983323035783694
Qwen/Qwen3.5-9B,1,3,label_residualized,0.2486521507037931
Qwen/Qwen3.5-9B,1,4,raw,0.027394779664299998
Qwen/Qwen3.5-9B,1,4,label_residualized,0.024702919075789035
Qwen/Qwen3.5-9B,1,5,raw,0.958288976015385
Qwen/Qwen3.5-9B,1,5,label_residualized,0.9623324299913004
Qwen/Qwen3.5-9B,1,6,raw,0.49730745526138953
Qwen/Qwen3.5-9B,1,6,label_residualized,0.5002202451387803
Qwen/Qwen3.5-9B,1,7,raw,0.496179991254704
Qwen/Qwen3.5-9B,1,7,label_residualized,0.49867573260955833
Qwen/Qwen3.5-9B,1,8,raw,0.35929141521675084
Qwen/Qwen3.5-9B,1,8,label_residualized,0.3592449172635298
Qwen/Qwen3.5-9B,1,9,raw,0.49706332108611234
Qwen/Qwen3.5-9B,1,9,label_residualized,0.49985277672061573
Qwen/Qwen3.5-9B,1,10,raw,0.34391502544636743
Qwen/Qwen3.5-9B,1,10,label_residualized,0.34879334527448236
Qwen/Qwen3.5-9B,1,11,raw,0.4971560204569615
Qwen/Qwen3.5-9B,1,11,label_residualized,0.4989759789762882
Qwen/Qwen3.5-9B,1,12,raw,0.5447093265878681
Qwen/Qwen3.5-9B,1,12,label_residualized,0.521068716042238
Qwen/Qwen3.5-9B,1,13,raw,0.48812489591412006
Qwen/Qwen3.5-9B,1,13,label_residualized,0.48170911167149344
Qwen/Qwen3.5-9B,1,14,raw,0.7386405551839912
Qwen/Qwen3.5-9B,1,14,label_residualized,0.7431450231555321
Qwen/Qwen3.5-9B,1,15,raw,0.5048122131634332
Qwen/Qwen3.5-9B,1,15,label_residualized,0.5043345380047622
Qwen/Qwen3.5-9B,1,16,raw,0.5002575327234702
Qwen/Qwen3.5-9B,1,16,label_residualized,0.4946249176050414
Qwen/Qwen3.5-9B,1,17,raw,0.49228142001905706
Qwen/Qwen3.5-9B,1,17,label_residualized,0.49603397621004763
Qwen/Qwen3.5-9B,1,18,raw,0.5060710199893802
Qwen/Qwen3.5-9B,1,18,label_residualized,0.5003632756853008
Qwen/Qwen3.5-9B,1,19,raw,0.48048800184490376
Qwen/Qwen3.5-9B,1,19,label_residualized,0.48381980118113965
Qwen/Qwen3.5-9B,2,0,raw,0.7969319678878678
Qwen/Qwen3.5-9B,2,0,label_residualized,0.5816285460470478
Qwen/Qwen3.5-9B,2,1,raw,0.43887352607962254
Qwen/Qwen3.5-9B,2,1,label_residualized,0.3343132905478857
Qwen/Qwen3.5-9B,2,2,raw,0.7956769992870731
Qwen/Qwen3.5-9B,2,2,label_residualized,0.9347527070779358
Qwen/Qwen3.5-9B,2,3,raw,0.40654538043906363
Qwen/Qwen3.5-9B,2,3,label_residualized,0.4095849053220511
Qwen/Qwen3.5-9B,2,4,raw,0.46205830826594757
Qwen/Qwen3.5-9B,2,4,label_residualized,0.8459896409657156
Qwen/Qwen3.5-9B,2,5,raw,0.4416865756512096
Qwen/Qwen3.5-9B,2,5,label_residualized,0.2710627148008221
Qwen/Qwen3.5-9B,2,6,raw,0.6209466647255835
Qwen/Qwen3.5-9B,2,6,label_residualized,0.4822409921912262
Qwen/Qwen3.5-9B,2,7,raw,0.7772697757457846
