model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,8,5,8,raw,0.36232929007214637,0.787122958583728,0.3241851758095848,38.08254547575761,71.08378357251046,54.583164524134034,1
Qwen/Qwen3.5-4B,8,5,8,label_residualized,0.3888075330336648,0.8014836587560381,0.3677485701051252,36.7279841930442,68.42316738663385,52.57557578983902,1
Qwen/Qwen3.5-4B,8,5,9,raw,0.19990897114870174,0.5512042626412061,0.3098254397940358,56.55033029686933,71.95128899928604,64.25080964807768,1
Qwen/Qwen3.5-4B,8,5,9,label_residualized,0.20160765934732133,0.5505489120908895,0.3164035620693621,56.59532121533023,71.55443363691512,64.07487742612267,1
Qwen/Qwen3.5-4B,8,6,7,raw,0.10228709151093147,0.4521019434065534,0.013342255801794933,63.12137736137809,89.23552237071426,76.17844986604618,0
Qwen/Qwen3.5-4B,8,6,7,label_residualized,0.06343080908949891,0.35443328213690234,0.035194696939465496,69.24128444353632,87.98307587511248,78.6121801593244,0
Qwen/Qwen3.5-4B,8,6,8,raw,0.09136879495718583,0.4268674362795682,0.022842542732376608,64.73107659043775,88.69110486498768,76.71109072771272,0
Qwen/Qwen3.5-4B,8,6,8,label_residualized,0.26717775326187365,0.7307972419611483,0.01705572237479876,43.04672864214486,89.0227317066272,66.03473017438603,1
Qwen/Qwen3.5-4B,8,6,9,raw,0.03609491509164784,0.25627210215804486,0.08071207988146689,75.15102374459384,85.37050272805776,80.2607632363258,0
Qwen/Qwen3.5-4B,8,6,9,label_residualized,0.0917382697117241,0.42706540550737515,0.03304056358885871,64.71853295537935,88.10657054419441,76.41255174978687,0
Qwen/Qwen3.5-4B,8,7,8,raw,0.028804349140080638,0.23789694745298415,0.03183929447574771,76.23755032859054,88.17543444255593,82.20649238557323,0
Qwen/Qwen3.5-4B,8,7,8,label_residualized,0.09412362428541464,0.4209791454382847,0.10499432211734515,65.10357952431231,83.97316056676848,74.5383700455404,0
Qwen/Qwen3.5-4B,8,7,9,raw,0.2601796667513402,0.6475815055216946,0.3178010811953538,49.640495034404516,71.47000439897818,60.55524971669135,1
Qwen/Qwen3.5-4B,8,7,9,label_residualized,0.2691338019610175,0.665170669408734,0.3095409253723515,48.3045799839687,71.96843329177656,60.13650663787263,1
Qwen/Qwen3.5-4B,8,8,9,raw,0.21959016546686033,0.5576602303956864,0.35804384978484216,56.10585897058365,69.01988935406538,62.56287416232452,1
Qwen/Qwen3.5-4B,8,8,9,label_residualized,0.248177422564539,0.5700480159649404,0.41400495724509523,55.24642587939339,65.5433304796807,60.394878179537045,1
Qwen/Qwen3.5-4B,16,1,2,raw,0.14434872466847073,0.535899394593892,0.038849558695582216,57.59507328266072,87.77352394543277,72.68429861404675,1
Qwen/Qwen3.5-4B,16,1,2,label_residualized,0.14292173270248826,0.5325214779934649,0.04758509094907962,57.824020224661616,87.27254514514347,72.54828268490255,1
Qwen/Qwen3.5-4B,16,1,3,raw,0.028077856144699074,0.23336687422710706,0.041177837520537,76.50462486632081,87.64001644292667,82.07232065462374,0
Qwen/Qwen3.5-4B,16,1,3,label_residualized,0.05369203506852928,0.2692014759610921,0.18685458377419617,74.38324444675148,79.23072208305294,76.80698326490221,0
Qwen/Qwen3.5-4B,16,1,4,raw,0.01198398721070651,0.15464011163042019,0.007376333529891608,81.10407548895591,89.57736338776674,85.34071943836133,0
Qwen/Qwen3.5-4B,16,1,4,label_residualized,0.042378948823236035,0.2638605469431253,0.12302645818419243,74.70074269205968,82.9331995254132,78.81697110873644,0
Qwen/Qwen3.5-4B,16,1,5,raw,0.05992428215302575,0.344472856788769,0.03445308755156418,69.85037968545006,88.02559275206777,78.93798621875891,0
Qwen/Qwen3.5-4B,16,1,5,label_residualized,0.06284974190068535,0.35354308535392315,0.02658515750939402,69.29582015814687,88.476603192394,78.88621167527043,0
Qwen/Qwen3.5-4B,16,1,6,raw,0.032341117089105,0.2456739050453034,0.06577664143144775,75.77833709094585,86.22855314487924,81.00344511791255,0
Qwen/Qwen3.5-4B,16,1,6,label_residualized,0.03584560453119484,0.2620089634971279,0.055158971251740976,74.81069961531398,86.83801896636372,80.82435929083886,0
Qwen/Qwen3.5-4B,16,1,7,raw,0.026299953818348154,0.22795747457469268,0.025205107066319975,76.82315049806242,88.55570078879427,82.68942564342834,0
Qwen/Qwen3.5-4B,16,1,7,label_residualized,0.02738449071353841,0.23308079999417577,0.021031455041243617,76.52148054017479,88.7948975374056,82.6581890387902,0
Qwen/Qwen3.5-4B,16,1,8,raw,0.4752067010368006,0.7577318747891023,0.613396941630942,40.735349073731946,52.16446865812306,46.449908865927505,2
