conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
2,19,100,-0.001694823599738028,0.48,-0.0021700885001515167,0.48,-0.11426998243788425,0.49
2,20,100,-0.0019613273310897504,0.48,-0.002059225133915365,0.49,-0.145241997999493,0.49
2,21,100,-0.0018345632830987046,0.49,-0.0015554363157688578,0.48,-0.14742052265531616,0.47
2,22,100,-0.0025286251469204078,0.47,-0.0022743497501944944,0.46,-0.17684834851576803,0.46
2,23,100,-0.002945655520156665,0.44,-0.0039276764865206456,0.46,-0.24419384038691613,0.44
2,24,100,-0.002415573735071125,0.44,-0.0025463204192094245,0.47,-0.21067440658312922,0.44
2,25,100,-0.00215496101309964,0.45,-0.0021072566807410547,0.46,-0.204640448771838,0.46
2,26,100,-0.002937298741638684,0.44,-0.0038299901452782266,0.44,-0.26887694563363973,0.43
2,27,100,-0.0028599356830423784,0.44,-0.0033399241153073355,0.43,-0.2886080914691281,0.46
2,28,100,-0.0025717265471236674,0.44,-0.0029821944313928343,0.42,-0.2856807537022365,0.44
2,29,100,-0.0027986531811043523,0.46,-0.0027442681738668673,0.44,-0.3193639792912873,0.44
2,30,100,-0.002308907538588227,0.44,-0.0012677656566585204,0.45,-0.23418621077309434,0.44
2,31,100,-0.0037931448628575914,0.47,-0.004258014640197522,0.47,-1.2912812295454876,0.47
3,0,100,-2.2813597699578024e-06,0.43,-0.002249489906659884,0.44,-0.0002597923307745803,0.45
3,1,100,1.2401071762211391e-05,0.53,0.002153001693700529,0.46,0.0007445460633118227,0.5
3,2,100,1.1665082976365371e-05,0.46,0.0014303985163895883,0.47,-0.0001811913095273319,0.46
3,3,100,-0.00019281039828864422,0.36,-0.0036137850849721166,0.35,-0.016307382408453978,0.35
3,4,100,-0.00038312246186242516,0.27,-0.005499821465534089,0.28,-0.031546442375735124,0.27
3,5,100,-0.00035425110038248773,0.27,-0.006777367315004001,0.3,-0.03315408491505136,0.28
3,6,100,-0.00032678807121780287,0.3,-0.006878693240898828,0.3,-0.029190135904896365,0.3
3,7,100,-0.0014880354089930813,0.22,-0.018365618823839622,0.22,-0.10423508179242504,0.22
3,8,100,-0.0015269653612763712,0.22,-0.017463561904999175,0.24,-0.0996157007645424,0.22
3,9,100,-0.0013574174983776853,0.23,-0.01651648302144628,0.23,-0.09385107007704448,0.23
3,10,100,-0.0010338528546572723,0.25,-0.014347787534539065,0.28,-0.08148406466314972,0.25
3,11,100,-0.002399803708069754,0.14,-0.01830841204358676,0.15,-0.18107796880093033,0.16
3,12,100,-0.0021812850049825272,0.25,-0.01576885275897269,0.26,-0.17149715427608395,0.25
3,13,100,-0.001987180226425903,0.26,-0.014072859080312403,0.25,-0.15437505685587494,0.26
3,14,100,-0.0014645304801833992,0.3,-0.0123414638346958,0.3,-0.12537448080394642,0.3
3,15,100,-0.00968287924306278,0.18,-0.04825889868632868,0.17,-0.3867778650172336,0.18
3,16,100,-0.01157299942858697,0.18,-0.05094018355331348,0.18,-0.42318837591647673,0.18
3,17,100,-0.015112947719987628,0.19,-0.05923080457143575,0.21,-0.4586483167608795,0.19
3,18,100,-0.0192428920311538,0.24,-0.07608385031574293,0.24,-0.5811729861472217,0.23
3,19,100,-0.04051970975343594,0.17,-0.10639768454959134,0.17,-1.1564719456718877,0.17
3,20,100,-0.04203181831120894,0.19,-0.10313656124919739,0.18,-1.2633711797286042,0.18
3,21,100,-0.04529129223424209,0.22,-0.10491750368250222,0.22,-1.414653335420869,0.22
3,22,100,-0.04494445151398905,0.23,-0.10828426230439579,0.22,-1.6383674628263298,0.23
3,23,100,-0.051335507917840584,0.21,-0.10799835733999556,0.21,-1.911490017421878,0.21
3,24,100,-0.05154189141195473,0.23,-0.10466331457853123,0.22,-2.099301989377526,0.23
3,25,100,-0.050365672370222,0.23,-0.10397315705560384,0.23,-2.2256641323410826,0.24
3,26,100,-0.043995520140963584,0.23,-0.10979205577096533,0.24,-2.471754917026962,0.24
3,27,100,-0.05602937898417429,0.23,-0.10884645050172324,0.23,-2.8073829891850828,0.23
3,28,100,-0.049531348647816414,0.23,-0.10262681091906785,0.24,-2.984016778700629,0.23
3,29,100,-0.05075475101428319,0.25,-0.0980878470616561,0.25,-3.1844895641971953,0.25
3,30,100,-0.04997070329834134,0.28,-0.09330340219359018,0.26,-3.4520182588058055,0.27
3,31,100,-0.049019114496985206,0.3,-0.08079526956274656,0.29,-10.269389548131716,0.3
4,0,100,-1.1017150672810727e-05,0.4,-0.012248302988902258,0.39,-0.0023445374192428998,0.39
4,1,100,-2.1325603472973633e-05,0.46,-0.005329509496733573,0.46,-0.001959311533747655,0.45
4,2,100,-5.53712572610543e-05,0.46,-0.005671370808801732,0.42,-0.003779530436163931,0.45
