fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,feature_group,classifier_model
2,625,157,0.6815286624203821,0.6818993506493507,0.737987012987013,all_geometry_no_delta,extra_trees
3,626,156,0.6858974358974359,0.6861842105263158,0.7402960526315789,all_geometry_no_delta,extra_trees
4,626,156,0.6602564102564102,0.6575657894736842,0.7358552631578947,all_geometry_no_delta,extra_trees
5,626,156,0.6474358974358975,0.647295742232451,0.7231629130363307,all_geometry_no_delta,extra_trees
1,625,157,0.643312101910828,0.6431818181818182,0.6743506493506494,all_geometry_no_delta,gradient_boosting
2,625,157,0.6369426751592356,0.6359577922077921,0.7077922077922078,all_geometry_no_delta,gradient_boosting
3,626,156,0.6346153846153846,0.6335526315789474,0.6973684210526316,all_geometry_no_delta,gradient_boosting
4,626,156,0.6730769230769231,0.6710526315789473,0.7226973684210526,all_geometry_no_delta,gradient_boosting
5,626,156,0.5961538461538461,0.5964984382705902,0.6334045701134309,all_geometry_no_delta,gradient_boosting
1,625,157,0.6242038216560509,0.6234577922077922,0.6756493506493506,delta_only,logistic_l2
2,625,157,0.6242038216560509,0.6237012987012986,0.6829545454545455,delta_only,logistic_l2
3,626,156,0.6474358974358975,0.6476973684210526,0.7036184210526315,delta_only,logistic_l2
4,626,156,0.7051282051282052,0.7026315789473685,0.7472039473684211,delta_only,logistic_l2
5,626,156,0.6474358974358975,0.6477889199408187,0.675653460463587,delta_only,logistic_l2
1,625,157,0.5796178343949044,0.5794642857142858,0.6376623376623376,delta_only,linear_svm
2,625,157,0.6369426751592356,0.6369318181818182,0.6933441558441558,delta_only,linear_svm
3,626,156,0.6794871794871795,0.6779605263157895,0.7042763157894738,delta_only,linear_svm
4,626,156,0.6602564102564102,0.6569078947368421,0.7108552631578947,delta_only,linear_svm
5,626,156,0.6666666666666666,0.6667762617129706,0.6866677626171296,delta_only,linear_svm
1,625,157,0.6369426751592356,0.6320616883116883,0.6876623376623376,delta_only,rbf_svm
2,625,157,0.643312101910828,0.6383116883116884,0.6621753246753246,delta_only,rbf_svm
3,626,156,0.6794871794871795,0.675,0.6976973684210526,delta_only,rbf_svm
4,626,156,0.6410256410256411,0.6351973684210527,0.7195723684210527,delta_only,rbf_svm
5,626,156,0.6346153846153846,0.6323360184119677,0.6735163570606609,delta_only,rbf_svm
1,625,157,0.6560509554140127,0.6549512987012986,0.6855519480519481,delta_only,random_forest
2,625,157,0.6050955414012739,0.6034902597402597,0.6722402597402597,delta_only,random_forest
3,626,156,0.6538461538461539,0.6529605263157895,0.721875,delta_only,random_forest
4,626,156,0.6282051282051282,0.6259868421052632,0.7124999999999999,delta_only,random_forest
5,626,156,0.6538461538461539,0.6528028933092225,0.6929146802564523,delta_only,random_forest
1,625,157,0.6369426751592356,0.6359577922077921,0.7006493506493506,delta_only,extra_trees
2,625,157,0.6369426751592356,0.6357142857142857,0.7087662337662338,delta_only,extra_trees
3,626,156,0.6666666666666666,0.6654605263157896,0.721875,delta_only,extra_trees
4,626,156,0.6538461538461539,0.6516447368421052,0.7134868421052631,delta_only,extra_trees
5,626,156,0.6538461538461539,0.65329607101759,0.7029426269932599,delta_only,extra_trees
1,625,157,0.6560509554140127,0.6554383116883117,0.6731331168831168,delta_only,gradient_boosting
2,625,157,0.6305732484076433,0.6292207792207791,0.6873376623376625,delta_only,gradient_boosting
3,626,156,0.6089743589743589,0.6075657894736842,0.7044407894736843,delta_only,gradient_boosting
4,626,156,0.6153846153846154,0.6125,0.6914473684210526,delta_only,gradient_boosting
5,626,156,0.6474358974358975,0.6466381719546277,0.6782837415748808,delta_only,gradient_boosting
1,625,157,0.6942675159235668,0.6939123376623377,0.7316558441558442,all_geometry_with_delta,logistic_l2
2,625,157,0.6815286624203821,0.6814123376623377,0.7022727272727273,all_geometry_with_delta,logistic_l2
3,626,156,0.6538461538461539,0.6523026315789473,0.7225328947368421,all_geometry_with_delta,logistic_l2
4,626,156,0.6794871794871795,0.6796052631578948,0.7435855263157894,all_geometry_with_delta,logistic_l2
5,626,156,0.6410256410256411,0.6408022357389446,0.6547756041426928,all_geometry_with_delta,logistic_l2
1,625,157,0.6942675159235668,0.6936688311688312,0.7160714285714286,all_geometry_with_delta,linear_svm
2,625,157,0.6560509554140127,0.6559253246753247,0.6839285714285714,all_geometry_with_delta,linear_svm
3,626,156,0.6410256410256411,0.6394736842105263,0.699342105263158,all_geometry_with_delta,linear_svm
4,626,156,0.6538461538461539,0.6529605263157895,0.6980263157894737,all_geometry_with_delta,linear_svm
5,626,156,0.6410256410256411,0.6406378431694888,0.6559263521288837,all_geometry_with_delta,linear_svm
1,625,157,0.6496815286624203,0.6494318181818182,0.7306818181818182,all_geometry_with_delta,rbf_svm
2,625,157,0.6560509554140127,0.6554383116883117,0.6889610389610389,all_geometry_with_delta,rbf_svm
3,626,156,0.6602564102564102,0.6585526315789474,0.7449013157894737,all_geometry_with_delta,rbf_svm
4,626,156,0.6730769230769231,0.6703947368421053,0.7534539473684211,all_geometry_with_delta,rbf_svm
5,626,156,0.6410256410256411,0.6408022357389446,0.6978464573401283,all_geometry_with_delta,rbf_svm
1,625,157,0.6624203821656051,0.6626623376623377,0.7183441558441559,all_geometry_with_delta,random_forest
