layer,metric,spearman_r,p_value,n
27,offaxis_fraction,0.4739313763357795,1.379119438302889e-49,864
27,endpoint_relative_hidden,0.879963045819314,6.800708665630867e-281,864
28,position_t,0.6435503214652774,3.455264099726468e-102,864
28,signed_margin,0.6435503214652774,3.455264099726468e-102,864
28,log_offaxis_ratio,0.8209622041079384,5.350218604762392e-212,864
28,offaxis_fraction,0.49198627139721857,7.336794273059329e-54,864
28,endpoint_relative_hidden,0.8909862088828457,7.784753566624405e-298,864
29,position_t,0.6553225220679456,3.8046416325009904e-107,864
29,signed_margin,0.6553225220679456,3.8046416325009904e-107,864
29,log_offaxis_ratio,0.8238243762888937,1.0099863238323146e-214,864
29,offaxis_fraction,0.491606310528239,9.080513124282204e-54,864
29,endpoint_relative_hidden,0.894377260099234,2.041340191195197e-303,864
30,position_t,0.6609548437847689,1.3442110358352572e-109,864
30,signed_margin,0.6609548437847689,1.3442110358352572e-109,864
30,log_offaxis_ratio,0.8370167136640789,5.991348519105945e-228,864
30,offaxis_fraction,0.5062701357678215,1.9874534225899044e-57,864
30,endpoint_relative_hidden,0.9036346526098633,1.11787e-319,864
31,position_t,0.6657721901836061,9.745088415873624e-112,864
31,signed_margin,0.6657721901836061,9.745088415873624e-112,864
31,log_offaxis_ratio,0.8369707581579395,6.693243796861423e-228,864
31,offaxis_fraction,0.5055754634063933,2.990329096571097e-57,864
31,endpoint_relative_hidden,0.9061331995228068,0.0,864
