model_id,layer,n,mean_position_t,median_position_t,fraction_new_side,fraction_outside_segment,mean_log_offaxis_ratio,median_offaxis_ratio,mean_offaxis_fraction,mean_midpoint_distance_ratio,median_midpoint_distance_ratio,mean_log_midpoint_distance_ratio,mean_endpoint_relative_hidden
Qwen/Qwen3.5-9B,17,864,0.5100463995131844,0.4843821900485109,0.4849537037037037,0.07523148148148148,0.6267983353591852,0.7699122164840907,0.9238780793999563,1.02092438959309,0.8098147680662776,0.6580974862221105,0.18074417140445237
Qwen/Qwen3.5-9B,18,864,0.5311542462118732,0.5141013788766766,0.5138888888888888,0.09722222222222222,0.6897547758552713,0.8702959695606587,0.9269190772472067,1.1840756030151316,0.925845987835356,0.7206575206813451,0.18814606517103158
Qwen/Qwen3.5-9B,19,864,0.521307068748865,0.5135039359109537,0.5127314814814815,0.10300925925925926,0.6776195793061981,0.8303011398085651,0.9186036196117291,1.1660774870827741,0.8810577801969974,0.7118943473679673,0.20531283187839897
Qwen/Qwen3.5-9B,20,864,0.5203446212273728,0.5152568635248133,0.5127314814814815,0.10648148148148148,0.6807990913235408,0.8132453421702205,0.9156684162741059,1.1882714814051227,0.8611940034768544,0.7162092664049186,0.21515072435892788
Qwen/Qwen3.5-9B,21,864,0.5245745743069518,0.5143155839902842,0.5185185185185185,0.1111111111111111,0.6879325916058951,0.8071620339556878,0.9125921092755651,1.2248192052250335,0.8587212286316344,0.7246787094676721,0.22167897605301473
Qwen/Qwen3.5-9B,22,864,0.5184920453855602,0.4955120509526906,0.49537037037037035,0.12268518518518519,0.7069973088614121,0.8206796745167585,0.9129309143119565,1.2977008131256778,0.8619516704642198,0.7439078764429431,0.20731987430976934
Qwen/Qwen3.5-9B,23,864,0.5148820039413425,0.5009361536240442,0.5011574074074074,0.13194444444444445,0.6969011250638656,0.801841120986623,0.9098268884909386,1.2707715471985443,0.8462914696285808,0.7350650070524828,0.24018884046578937
Qwen/Qwen3.5-9B,24,864,0.517956718509823,0.4920891996818006,0.49189814814814814,0.13773148148148148,0.7050170625375776,0.80540715695171,0.9071613459774647,1.312541416455204,0.8548917960298794,0.7444216329517521,0.23564643887264516
Qwen/Qwen3.5-9B,25,864,0.519128233821781,0.4875319905938623,0.4861111111111111,0.13773148148148148,0.7088613284070242,0.7989299921265047,0.9054850494494077,1.3345250995704754,0.850204342066282,0.7489905319562397,0.2267902045631422
Qwen/Qwen3.5-9B,26,864,0.5179752672547148,0.4921789977129198,0.49074074074074076,0.1527777777777778,0.7123770121107689,0.8097563033114049,0.9049515671513582,1.3506782463278797,0.8589313585152714,0.7530477892153196,0.1877708209117029
Qwen/Qwen3.5-9B,27,864,0.5126688894313036,0.48791321586951975,0.4849537037037037,0.15856481481481483,0.7029220455039641,0.7954999590790786,0.9024182593812158,1.3243417473512116,0.8525838335583775,0.744214883020726,0.25626689562901384
Qwen/Qwen3.5-9B,28,864,0.5053320311150531,0.4666610923001993,0.46412037037037035,0.14467592592592593,0.7258693471937283,0.8284236346567944,0.911004464269927,1.389767255410541,0.8786098978283319,0.763742964262894,0.2426124529272729
Qwen/Qwen3.5-9B,29,864,0.5003155169118327,0.46156231945519605,0.46064814814814814,0.15046296296296297,0.7322999497569868,0.8394320834607167,0.9123045484797353,1.4119034934222177,0.8863768959431924,0.7697009780198708,0.2590230621001364
Qwen/Qwen3.5-9B,30,864,0.49533503228299564,0.46037144477393865,0.45601851851851855,0.15046296296296297,0.7484632092368416,0.8433127070859785,0.9143036027979947,1.470846665962782,0.8896662051226373,0.7851868017498773,0.251975696958817
Qwen/Qwen3.5-9B,31,864,0.49527250218288515,0.45615640385942846,0.44560185185185186,0.15856481481481483,0.7421878061461066,0.8407020369753049,0.9125194152989536,1.4436187183201885,0.882292442690553,0.7795631743750616,0.27012903626373236
