model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,4,5,offaxis_fraction,84,0.5459183673469388
Qwen/Qwen3.5-4B,4,6,position_t,93,0.6626794258373205
Qwen/Qwen3.5-4B,4,6,log_offaxis_ratio,93,0.5870813397129186
Qwen/Qwen3.5-4B,4,6,offaxis_fraction,93,0.5655502392344498
Qwen/Qwen3.5-4B,4,7,position_t,90,0.5069444444444444
Qwen/Qwen3.5-4B,4,7,log_offaxis_ratio,90,0.529265873015873
Qwen/Qwen3.5-4B,4,7,offaxis_fraction,90,0.49851190476190477
Qwen/Qwen3.5-4B,4,8,position_t,93,0.6004489337822672
Qwen/Qwen3.5-4B,4,8,log_offaxis_ratio,93,0.4943883277216611
Qwen/Qwen3.5-4B,4,8,offaxis_fraction,93,0.5078563411896746
Qwen/Qwen3.5-4B,4,9,position_t,69,0.5576923076923077
Qwen/Qwen3.5-4B,4,9,log_offaxis_ratio,69,0.31923076923076926
Qwen/Qwen3.5-4B,4,9,offaxis_fraction,69,0.4846153846153846
Qwen/Qwen3.5-4B,5,1,position_t,95,0.6147540983606558
Qwen/Qwen3.5-4B,5,1,log_offaxis_ratio,95,0.5356798457087754
Qwen/Qwen3.5-4B,5,1,offaxis_fraction,95,0.5626808100289297
Qwen/Qwen3.5-4B,5,2,position_t,89,0.6206349206349207
Qwen/Qwen3.5-4B,5,2,log_offaxis_ratio,89,0.4137566137566137
Qwen/Qwen3.5-4B,5,2,offaxis_fraction,89,0.4058201058201058
Qwen/Qwen3.5-4B,5,3,position_t,88,0.5189873417721519
Qwen/Qwen3.5-4B,5,3,log_offaxis_ratio,88,0.6413502109704641
Qwen/Qwen3.5-4B,5,3,offaxis_fraction,88,0.45850914205344584
Qwen/Qwen3.5-4B,5,4,position_t,91,0.481191222570533
Qwen/Qwen3.5-4B,5,4,log_offaxis_ratio,91,0.59717868338558
Qwen/Qwen3.5-4B,5,4,offaxis_fraction,91,0.5130616509926854
Qwen/Qwen3.5-4B,5,5,position_t,84,0.5328798185941043
Qwen/Qwen3.5-4B,5,5,log_offaxis_ratio,84,0.6235827664399094
Qwen/Qwen3.5-4B,5,5,offaxis_fraction,84,0.5527210884353742
Qwen/Qwen3.5-4B,5,6,position_t,93,0.661244019138756
Qwen/Qwen3.5-4B,5,6,log_offaxis_ratio,93,0.5708133971291866
Qwen/Qwen3.5-4B,5,6,offaxis_fraction,93,0.583732057416268
Qwen/Qwen3.5-4B,5,7,position_t,90,0.5148809523809523
Qwen/Qwen3.5-4B,5,7,log_offaxis_ratio,90,0.53125
Qwen/Qwen3.5-4B,5,7,offaxis_fraction,90,0.5188492063492063
